case,mode,W,K,P_uniform,lambda*,t*,P_valid(QW),time_cap_enabled,time_limit,P_Grover_theory,P_free,gain_vs_uniform,gain_vs_free,lambda_at_lower_bound,r_Grover,valid_fraction,degree_bias_valid_minus_invalid
01_1d_tiny_single_gap,adjacency,5,1,0.2,4.215554815356753,0.5107439067392077,0.49293595531432094,True,1.7562036827601817,1.0,0.2166948581802129,0.29293595531432093,0.27624109713410805,False,1.7562036827601817,0.2,0.5
02_1d_main_reference,adjacency,7,2,0.2857142857142857,1.975536650760422,1.128372039074558,0.6754618845916777,True,1.4693454198173745,1.0,0.37563447730024097,0.38974759887739197,0.2998274072914367,False,1.4693454198173745,0.2857142857142857,0.3999999999999999
03_1d_two_free_regions,adjacency,8,3,0.375,2.507223249782449,0.8992922540069685,0.6494338882171622,True,1.282549830161864,1.0,0.39938724894122984,0.2744338882171622,0.25004663927593235,False,1.282549830161864,0.375,0.3999999999999999
04_1d_clustered_medium,adjacency,14,4,0.2857142857142857,2.767026836601557,0.8579448750371517,0.589183554817644,True,1.4693454198173745,1.0,0.2902277403629653,0.30346926910335825,0.29895581445467867,False,1.4693454198173745,0.2857142857142857,0.19999999999999996
05_1d_long_clustered_blocks,adjacency,29,11,0.3793103448275862,3.1658084612197164,0.6412881341850737,0.5391688685293665,True,1.2752417944336696,1.0,0.37931034482758563,0.15985852370178033,0.15985852370178089,False,1.2752417944336696,0.3793103448275862,0.11111111111111116
06_2d_tiny_corner_block,adjacency,4,1,0.25,3.2114285714285717,0.8539412889352601,0.7953172468812431,True,1.5707963267948966,1.0,0.2499999999999996,0.5453172468812431,0.5453172468812435,False,1.5707963267948966,0.25,0.0
07_2d_small_diagonal_block,adjacency,9,1,0.1111111111111111,3.1184210526315788,1.7781932911729175,0.7032676122291034,True,2.356194490192345,1.0,0.11111111111111113,0.5921565011179923,0.5921565011179922,False,2.356194490192345,0.1111111111111111,-0.75
08_2d_medium_clustered_obstacles,adjacency,16,9,0.5625,3.526315789473684,0.49571016864595135,0.8404575608332631,True,1.0471975511965976,1.0,0.6261480737131849,0.27795756083326306,0.21430948712007813,False,1.0471975511965976,0.5625,0.25396825396825395
09_2d_rectangular_window,adjacency,20,8,0.4,3.9161165328567824,0.6940424097916444,0.8119582763652085,True,1.2418235332245127,1.0,0.40000000000000063,0.41195827636520843,0.4119582763652078,False,1.2418235332245127,0.4,-0.16666666666666652
10_3d_small_clustered_obstacles,adjacency,18,12,0.6666666666666666,6.577055374188794,0.25785698010756153,0.8760698665677711,True,0.961912372621398,1.0,0.7344809219120604,0.20940319990110445,0.1415889446557107,False,0.961912372621398,0.6666666666666666,0.25
01_1d_tiny_single_gap,laplacian,5,1,0.2,4.215554815356753,0.5779354955019752,0.529525117762502,True,1.7562036827601817,1.0,0.19999999999999993,0.329525117762502,0.32952511776250204,False,1.7562036827601817,0.2,0.5
02_1d_main_reference,laplacian,7,2,0.2857142857142857,2.541313759312041,0.8564751621891223,0.5634920479555854,True,1.4693454198173745,1.0,0.2857142857142856,0.2777777622412997,0.2777777622412998,False,1.4693454198173745,0.2857142857142857,0.3999999999999999
03_1d_two_free_regions,laplacian,8,3,0.375,3.1633724421503437,0.6654890966706347,0.574851989317611,True,1.282549830161864,1.0,0.375,0.19985198931761095,0.19985198931761095,False,1.282549830161864,0.375,0.3999999999999999
04_1d_clustered_medium,laplacian,14,4,0.2857142857142857,3.003172376226453,0.7701295323673961,0.5519211989506541,True,1.4693454198173745,1.0,0.28571428571428603,0.26620691323636836,0.266206913236368,False,1.4693454198173745,0.2857142857142857,0.19999999999999996
05_1d_long_clustered_blocks,laplacian,29,11,0.3793103448275862,3.1658084612197164,0.629489197852479,0.5359067105675115,True,1.2752417944336696,1.0,0.3793103448275865,0.1565963657399253,0.15659636573992497,False,1.2752417944336696,0.3793103448275862,0.11111111111111116
06_2d_tiny_corner_block,laplacian,4,1,0.25,3.2114285714285717,0.8539412889352601,0.7953172468812421,True,1.5707963267948966,1.0,0.25,0.5453172468812421,0.5453172468812421,False,1.5707963267948966,0.25,0.0
07_2d_small_diagonal_block,laplacian,9,1,0.1111111111111111,2.3824285594778885,1.7864420340743161,0.6000155670352603,True,2.356194490192345,1.0,0.11111111111111091,0.48890445592414916,0.48890445592414933,False,2.356194490192345,0.1111111111111111,-0.75
08_2d_medium_clustered_obstacles,laplacian,16,9,0.5625,4.157894736842105,0.44307533298940815,0.8017844476750551,True,1.0471975511965976,1.0,0.5625000000000002,0.23928444767505508,0.23928444767505486,False,1.0471975511965976,0.5625,0.25396825396825395
09_2d_rectangular_window,laplacian,20,8,0.4,3.5894775428286096,0.7490068422449424,0.8136946853569125,True,1.2418235332245127,1.0,0.3999999999999999,0.41369468535691245,0.41369468535691256,False,1.2418235332245127,0.4,-0.16666666666666652
10_3d_small_clustered_obstacles,laplacian,18,12,0.6666666666666666,7.089675885054594,0.24919760390991955,0.869400717323787,True,0.961912372621398,1.0,0.6666666666666662,0.20273405065712036,0.2027340506571208,False,0.961912372621398,0.6666666666666666,0.25
