version,case,description,N,M,W,valid_windows,P_uniform,theta_default,beta_default,r_star_default,P_star_default,theta_opt_heatmap,beta_opt_heatmap,P_opt_heatmap,theta_opt_scan_default_beta,P_opt_scan_default_beta,mixer_method
V4,01_1d_tiny_single_gap,Minimal 1D case with one valid window.,[6],[2],5,1,0.2,1.5707963267948966,0.3,5,0.49294142475684455,0.41887902047863906,0.20943951023931953,0.7025975783086115,0.36651914291880916,0.5871387294694171,local_geometric
V4,02_1d_main_reference,Reference 1D instance used in the manual main experiment.,[8],[2],7,2,0.2857142857142857,1.0471975511965976,0.6,28,0.6820270861853122,0.10471975511965977,0.20943951023931953,0.8098169622995599,0.6283185307179586,0.8207905491452326,linear_valid
V4,03_1d_two_free_regions,1D grid with two occupied blocks and a central valid plateau.,[10],[3],8,3,0.375,1.0471975511965976,0.3,14,0.6501736389114909,0.10471975511965977,0.15707963267948966,0.897785378227124,0.0,0.7536637814440508,linear_valid
V4,04_1d_clustered_medium,Medium 1D case with several clustered obstacles.,[16],[3],14,4,0.2857142857142857,1.0471975511965976,0.24,2,0.549476292958996,0.8377580409572781,0.5235987755982988,0.7292064844486047,0.890117918517108,0.5637761935038386,local_geometric
V4,05_1d_long_clustered_blocks,Longer 1D case with separated occupied blocks.,[32],[4],29,11,0.3793103448275862,0.7853981633974483,0.18,3,0.5553935979960141,0.5235987755982988,0.47123889803846897,0.7523100413237211,0.6283185307179586,0.5792256163818873,local_geometric
V4,06_2d_tiny_corner_block,Small 2D case with a single valid 2x2 region.,"[3, 3]","[2, 2]",4,1,0.25,1.5707963267948966,0.28,7,0.6466674529220823,1.780235837034216,0.6283185307179586,0.9012766392706943,0.5235987755982988,0.7778350819704235,local_geometric
V4,07_2d_small_diagonal_block,4x4 grid with diagonal obstacles and one clear lower-left solution.,"[4, 4]","[2, 2]",9,1,0.1111111111111111,1.5707963267948966,0.24,57,0.26932248604128595,0.10471975511965977,0.05235987755982988,0.7142778875592544,0.5759586531581287,0.5924588391166714,local_geometric
V4,08_2d_medium_clustered_obstacles,5x5 grid with two compact occupied clusters.,"[5, 5]","[2, 2]",16,9,0.5625,1.0471975511965976,0.22,57,0.7765313219774219,0.20943951023931953,0.20943951023931953,0.966967408503007,0.10471975511965977,0.8537088528348291,local_geometric
V4,09_2d_rectangular_window,6x6 grid with a non-square 3x2 window.,"[6, 6]","[3, 2]",20,8,0.4,1.0471975511965976,0.18,60,0.6408652439899921,0.7330382858376183,0.7330382858376183,0.8465483599687984,0.20943951023931953,0.7764420206794602,local_geometric
V4,10_3d_small_clustered_obstacles,Small 3D grid with two compact occupied clusters.,"[4, 4, 3]","[2, 2, 2]",18,12,0.6666666666666666,0.7853981633974483,0.16,2,0.8877267099037172,0.41887902047863906,0.20943951023931953,0.9425432363524351,0.5235987755982988,0.9200542657528552,local_geometric
