case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
01_1d_tiny_single_gap,cost_phase,local_geometric,M1 (sweep),0.5235987755982988,0.16666666666666666,0.32724923474893675,0.10416666666666666,15,0.7440295894315402,0.2,0.033333333333333326,0.03749999999999999,10,0.041432011122928714,5,1
01_1d_tiny_single_gap,cost_phase,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,5,0.49294142475684954,0.2,0.3666666666666667,0.028826299188470537,0,-0.20965615355176193,5,1
01_1d_tiny_single_gap,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.4466625258399798,0.2,0.3666666666666667,0.28574971568290014,-4,-0.2559350524686317,5,1
01_1d_tiny_single_gap,cost_phase,local_geometric,M4 (grad),1.5194723716383747,0.48366307767562555,0.8307840639494966,0.2644467808390713,5,0.3559617972017831,0.2,0.35032974434229225,0.19778011417240468,0,-0.34663578110682836,5,1
01_1d_tiny_single_gap,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.19634954084936207,0.0625,46,0.7608680091828334,0.2,-0.039583333333333325,-0.004166666666666664,41,0.0582704308742219,5,1
01_1d_tiny_single_gap,cost_phase,local_geometric,Experimental,0.41887902047863906,0.13333333333333333,0.20943951023931953,0.06666666666666667,5,0.7025975783086115,0.2,0.0,0.0,0,0.0,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,M1 (sweep),0.5235987755982988,0.16666666666666666,0.32724923474893675,0.10416666666666666,15,0.7440295894315402,0.2,0.04166666666666666,0.04166666666666666,10,0.034694723749517875,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,5,0.49294142475684954,0.2,0.375,0.0329929658551372,0,-0.21639344092517276,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.4466625258399798,0.2,0.375,0.2899163823495668,-4,-0.2626723398420425,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,M4 (grad),1.5194723716383747,0.48366307767562555,0.8307840639494966,0.2644467808390713,5,0.3559617972017831,0.2,0.35866307767562555,0.20194678083907133,0,-0.3533730684802392,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.19634954084936207,0.0625,46,0.7608680091828334,0.2,-0.03125,0.0,41,0.05153314350081106,5,1
01_1d_tiny_single_gap,cost_phase,linear_valid,Experimental,0.39269908169872414,0.125,0.19634954084936207,0.0625,5,0.7093348656820223,0.2,0.0,0.0,0,0.0,5,1
