case,P_uniform,V4_best_P_valid,V4_best_method,V4_best_mixer,V4_best_transition_mode,V4_theta_over_pi,V4_beta_over_pi,V4_r,V5_best_P_valid,V5_best_method,V5_best_mixer,V5_best_transition_mode,V5_theta_over_pi,V5_beta_over_pi,V5_r,delta_V5_minus_V4
01_1d_tiny_single_gap,0.2,0.7608680091828334,M5 (hybrid),linear_valid,cost_phase,0.09375,0.0625,46,0.928340999143334,M5 (hybrid),linear_valid,descent,0.25,0.3020833333333333,30,0.16747298996050064
02_1d_main_reference,0.2857142857142857,0.9299103428956494,M5 (hybrid),linear_valid,cost_phase,0.09375,0.1145833333333333,33,0.937034814857316,M5 (hybrid),local_geometric,descent,0.09375,0.1145833333333333,18,0.007124471961666545
03_1d_two_free_regions,0.375,0.96910800954321,M5 (hybrid),local_geometric,cost_phase,0.3333333333333333,0.3958333333333333,46,0.941732612343324,M5 (hybrid),local_geometric,oriented_valid,0.3229166666666666,0.2864583333333333,60,-0.02737539719988602
04_1d_clustered_medium,0.2857142857142857,0.8735805768078663,M5 (hybrid),local_geometric,cost_phase,0.0833333333333333,0.0833333333333333,60,0.8718763994263197,M5 (hybrid),local_geometric,oriented_valid,0.2395833333333333,0.1979166666666666,59,-0.001704177381546601
05_1d_long_clustered_blocks,0.3793103448275862,0.9215975440186212,M5 (hybrid),local_geometric,cost_phase,0.0208333333333333,0.0416666666666666,21,0.8716017588507244,M5 (hybrid),local_geometric,oriented_valid,0.0208333333333333,0.03125,54,-0.04999578516789671
06_2d_tiny_corner_block,0.25,0.9656975409338664,M5 (hybrid),rx_all,cost_phase,0.1979166666666666,0.0833333333333333,37,1.0,M5 (hybrid),rx_all,descent,0.5,0.25,1,0.034302459066133606
07_2d_small_diagonal_block,0.1111111111111111,0.7770157867079567,M5 (hybrid),local_geometric,cost_phase,0.0416666666666666,0.0208333333333333,54,0.7951317577199559,M5 (hybrid),local_geometric,oriented_valid,0.3020833333333333,0.4270833333333332,58,0.018115971011999243
08_2d_medium_clustered_obstacles,0.5625,0.9864949477064529,M5 (hybrid),local_geometric,cost_phase,0.1354166666666666,0.09375,30,0.9803508517698528,M5 (hybrid),local_geometric,oriented_valid,0.15625,0.0989583333333333,28,-0.006144095936600036
09_2d_rectangular_window,0.4,0.9127388068833634,M5 (hybrid),local_geometric,cost_phase,0.0416666666666666,0.0364583333333333,31,0.9195390706389442,M5 (hybrid),local_geometric,oriented_valid,0.0625,0.0364583333333333,12,0.006800263755580849
10_3d_small_clustered_obstacles,0.6666666666666666,0.9733361271388428,M1 (sweep),local_geometric,cost_phase,0.7083333333333333,0.125,14,0.9797174036655476,M5 (hybrid),local_geometric,oriented_valid,0.0729166666666666,0.0416666666666666,58,0.006381276526704838
