version,transition_mode,mixer_method,method,mean_best_P_valid,median_best_P_valid,min_best_P_valid,max_best_P_valid,wins_best_by_case,cases
V4,cost_phase,local_geometric,M5 (hybrid),0.9067172066860966,0.9257539434571354,0.7608680091828334,0.9864949477064529,6,10
V5,oriented_valid,local_geometric,M5 (hybrid),0.9057952482576894,0.9028830699573509,0.7951317577199559,0.9803508517698528,7,10
V5,oriented_valid,linear_valid,M5 (hybrid),0.9002797174783312,0.909046705909068,0.7792699399955559,0.9777160320039012,0,10
V4,cost_phase,local_geometric,M1 (sweep),0.8879475376685461,0.9011000983027488,0.7440295894315402,0.9733361271388428,1,10
V5,descent,local_geometric,M5 (hybrid),0.8876296937447934,0.9325202404801687,0.7020923980847867,0.9992734376813616,1,10
V5,descent,linear_valid,M5 (hybrid),0.8793299359618549,0.9325202404801687,0.6837105072767814,0.9817351760672968,1,10
V4,cost_phase,linear_valid,M5 (hybrid),0.8687143672604906,0.9099217955310224,0.5797586246027685,0.96910800954321,2,10
V5,oriented_valid,local_geometric,M1 (sweep),0.8650383915180292,0.8780751430781975,0.7201078845850482,0.963615205112744,0,10
V5,descent,local_geometric,M1 (sweep),0.8625852101225618,0.9145195820383141,0.6439828734943303,0.9968134563396264,0,10
V5,descent,linear_valid,M1 (sweep),0.8523731719138791,0.9159809385745163,0.5804449684613917,0.9740780956648378,0,10
V5,oriented_valid,linear_valid,M1 (sweep),0.8500809096064899,0.871106418655351,0.5905179419429676,0.969869568951212,0,10
V5,delta_cost,linear_valid,M5 (hybrid),0.8445828440455776,0.8566185321814429,0.6026615450250171,0.9644297437765909,0,10
V4,cost_phase,linear_valid,M1 (sweep),0.8426750997527334,0.8876884300127318,0.562389025317835,0.9515094122045994,0,10
V5,valid_boundary,linear_valid,M5 (hybrid),0.8269312220315385,0.8373653122309244,0.643178502743698,0.9525922257125444,0,10
V4,cost_phase,local_geometric,Experimental,0.8257716563285527,0.8419579307288485,0.7025975783086115,0.966967408503007,0,10
V5,oriented_valid,local_geometric,Experimental,0.8181139658884377,0.8534973005309119,0.6127723481522416,0.9542656522920218,0,10
V5,oriented_valid,rx_all,M5 (hybrid),0.8057397617722252,0.8416922997198266,0.5440549670336661,0.97662740945816,0,10
V5,delta_cost,linear_valid,M1 (sweep),0.8041375366251946,0.8386724385515079,0.5031599993302057,0.9644297437765909,0,10
V5,delta_cost,local_geometric,M5 (hybrid),0.8011220338512336,0.8332112069645197,0.5554487591431427,0.9354756972232968,0,10
V4,cost_phase,rx_all,M5 (hybrid),0.7938050486737736,0.8109325948011797,0.5539578046788045,0.9656975409338664,1,10
V5,oriented_valid,rx_all,M1 (sweep),0.7856524497490865,0.8323016633078613,0.5053876548783928,0.97662740945816,0,10
V5,delta_cost,linear_valid,Experimental,0.7739538998337439,0.8023645424255423,0.5331500613524067,0.8964826048960772,0,10
