case,P_valid_V4,mixer_method_V4,theta_over_pi_V4,beta_over_pi_V4,r_V4,P_valid_V5,mixer_method_V5,transition_mode,theta_over_pi_V5,beta_over_pi_V5,r_V5,method,delta_V5_minus_V4
01_1d_tiny_single_gap,0.7093348656820223,linear_valid,0.125,0.0625,5,0.8637905464958623,local_geometric,oriented_valid,0.1666666666666666,0.2166666666666666,57,Experimental,0.15445568081383998
02_1d_main_reference,0.8373675014888986,local_geometric,0.0416666666666666,0.0625,28,0.9062079121442792,local_geometric,oriented_valid,0.3333333333333333,0.1875,37,Experimental,0.0688404106553806
03_1d_two_free_regions,0.897785378227124,linear_valid,0.0333333333333333,0.05,14,0.883984483854146,local_geometric,oriented_valid,0.0416666666666666,0.0833333333333333,9,Experimental,-0.013800894372978045
04_1d_clustered_medium,0.7292064844486047,local_geometric,0.2666666666666666,0.1666666666666666,2,0.7806602342828551,local_geometric,descent,0.1,0.1666666666666666,55,Experimental,0.05145374983425044
05_1d_long_clustered_blocks,0.7523100413237211,local_geometric,0.1666666666666666,0.15,3,0.8059545591044573,rx_all,oriented_valid,0.25,0.0572957795130823,13,Experimental,0.0536445177807362
06_2d_tiny_corner_block,0.9383870028986449,rx_all,0.7083333333333333,0.2708333333333333,31,0.9972158665801688,rx_all,descent,0.0416666666666666,0.0208333333333333,51,Experimental,0.05882886368152396
07_2d_small_diagonal_block,0.7142778875592544,local_geometric,0.0333333333333333,0.0166666666666666,57,0.6717817328088851,local_geometric,oriented_valid,0.2666666666666666,0.1166666666666666,8,Experimental,-0.042496154750369275
08_2d_medium_clustered_obstacles,0.966967408503007,local_geometric,0.0666666666666666,0.0666666666666666,57,0.9157550016051352,rx_all,oriented_valid,0.0833333333333333,0.0416666666666666,59,Experimental,-0.051212406897871765
09_2d_rectangular_window,0.8465483599687984,local_geometric,0.2333333333333333,0.2333333333333333,60,0.8855256092624335,local_geometric,oriented_valid,0.0333333333333333,0.0166666666666666,22,Experimental,0.03897724929363511
10_3d_small_clustered_obstacles,0.9425432363524352,local_geometric,0.1333333333333333,0.0666666666666666,2,0.9674159231164328,linear_valid,oriented_valid,0.1666666666666666,0.125,5,Experimental,0.024872686763997565
