case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows,version
01_1d_tiny_single_gap,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.196349540849362,0.0625,46,0.7608680091828334,0.2,-0.0395833333333333,-0.0041666666666666,41,0.0582704308742219,5,1,V4
02_1d_main_reference,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.1145833333333333,33,0.9299103428956494,0.2857142857142857,0.0520833333333333,0.0520833333333333,5,0.0925428414067508,7,2,V4
03_1d_two_free_regions,cost_phase,local_geometric,M5 (hybrid),1.0471975511965976,0.3333333333333333,1.2435470920459597,0.3958333333333333,46,0.96910800954321,0.375,0.2916666666666666,0.3541666666666666,32,0.1044865834817084,8,3,V4
04_1d_clustered_medium,cost_phase,local_geometric,M5 (hybrid),0.2617993877991494,0.0833333333333333,0.2617993877991494,0.0833333333333333,60,0.8735805768078663,0.2857142857142857,-0.1833333333333333,-0.0833333333333333,58,0.1443740923592615,14,4,V4
05_1d_long_clustered_blocks,cost_phase,local_geometric,M5 (hybrid),0.0654498469497873,0.0208333333333333,0.1308996938995747,0.0416666666666666,21,0.9215975440186212,0.3793103448275862,-0.1458333333333333,-0.1083333333333333,18,0.1692875026949001,29,11,V4
06_2d_tiny_corner_block,cost_phase,local_geometric,M5 (hybrid),0.6872233929727672,0.21875,0.2781618495365962,0.0885416666666666,25,0.9625219159761697,0.25,-0.3479166666666666,-0.1114583333333333,18,0.0612452767054753,4,1,V4
07_2d_small_diagonal_block,cost_phase,local_geometric,M5 (hybrid),0.1308996938995747,0.0416666666666666,0.0654498469497873,0.0208333333333333,54,0.7770157867079567,0.1111111111111111,0.0083333333333333,0.0041666666666666,-3,0.0627378991487023,9,1,V4
08_2d_medium_clustered_obstacles,cost_phase,local_geometric,M5 (hybrid),0.4254240051736178,0.1354166666666666,0.2945243112740431,0.09375,30,0.9864949477064529,0.5625,0.0687499999999999,0.0270833333333333,-27,0.0195275392034458,16,9,V4
09_2d_rectangular_window,cost_phase,local_geometric,M5 (hybrid),0.1308996938995747,0.0416666666666666,0.1145372321621278,0.0364583333333333,31,0.9127388068833634,0.4,-0.1916666666666666,-0.196875,-29,0.066190446914565,20,8,V4
10_3d_small_clustered_obstacles,cost_phase,local_geometric,M1 (sweep),2.22529479629277,0.7083333333333333,0.3926990816987241,0.125,14,0.9733361271388428,0.6666666666666666,0.575,0.0583333333333333,12,0.0307928907864076,18,12,V4
01_1d_tiny_single_gap,descent,local_geometric,M5 (hybrid),0.7853981633974483,0.25,0.9490227807719168,0.3020833333333333,30,0.928340999143334,0.2,0.0833333333333333,0.1020833333333333,26,0.3648079509796285,5,1,V5
02_1d_main_reference,descent,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.1145833333333333,18,0.937034814857316,0.2857142857142857,-0.03125,-0.0104166666666666,3,0.0913637362132657,7,2,V5
03_1d_two_free_regions,oriented_valid,local_geometric,M5 (hybrid),1.014472627721704,0.3229166666666666,0.8999353955595761,0.2864583333333333,60,0.941732612343324,0.375,0.28125,0.203125,51,0.0577481284891781,8,3,V5
04_1d_clustered_medium,oriented_valid,local_geometric,M5 (hybrid),0.7526732399225546,0.2395833333333333,0.6217735460229799,0.1979166666666666,59,0.8718763994263197,0.2857142857142857,0.0395833333333333,0.03125,55,0.2591040512740781,14,4,V5
05_1d_long_clustered_blocks,oriented_valid,local_geometric,M5 (hybrid),0.0654498469497873,0.0208333333333333,0.098174770424681,0.03125,54,0.8716017588507244,0.3793103448275862,-0.0458333333333333,-0.0354166666666666,38,0.1011441288637527,29,11,V5
06_2d_tiny_corner_block,descent,local_geometric,M5 (hybrid),0.0654498469497873,0.0208333333333333,0.0327249234748936,0.0104166666666666,33,0.9992734376813616,0.25,-0.2791666666666667,-0.1395833333333333,-5,0.1353614279510687,4,1,V5
07_2d_small_diagonal_block,oriented_valid,local_geometric,M5 (hybrid),0.9490227807719166,0.3020833333333333,1.3417218624706406,0.4270833333333332,58,0.7951317577199559,0.1111111111111111,0.0354166666666666,0.3104166666666666,50,0.1233500249110708,9,1,V5
08_2d_medium_clustered_obstacles,oriented_valid,local_geometric,M5 (hybrid),0.4908738521234052,0.15625,0.3108867730114899,0.0989583333333333,28,0.9803508517698528,0.5625,0.05625,0.0322916666666666,25,0.1912011624482794,16,9,V5
09_2d_rectangular_window,oriented_valid,local_geometric,M5 (hybrid),0.196349540849362,0.0625,0.1145372321621278,0.0364583333333333,12,0.9195390706389442,0.4,0.0291666666666666,0.0197916666666666,-10,0.0340134613765107,20,8,V5
10_3d_small_clustered_obstacles,oriented_valid,local_geometric,M5 (hybrid),0.2290744643242557,0.0729166666666666,0.1308996938995747,0.0416666666666666,58,0.9797174036655476,0.6666666666666666,-0.1270833333333333,-0.0416666666666666,31,0.0254517513735259,18,12,V5
01_1d_tiny_single_gap,cost_phase,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.196349540849362,0.0625,46,0.7608680091828334,0.2,-0.03125,0.0,41,0.051533143500811,5,1,V4
02_1d_main_reference,cost_phase,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.1145833333333333,33,0.9299103428956494,0.2857142857142857,0.0604166666666666,0.0479166666666666,5,0.1200933805960895,7,2,V4
03_1d_two_free_regions,cost_phase,linear_valid,M5 (hybrid),1.0471975511965976,0.3333333333333333,1.2435470920459597,0.3958333333333333,46,0.96910800954321,0.375,0.3,0.3458333333333333,32,0.0713226313160859,8,3,V4
04_1d_clustered_medium,cost_phase,linear_valid,M5 (hybrid),0.2617993877991494,0.0833333333333333,0.2617993877991494,0.0833333333333333,60,0.8735805768078663,0.2857142857142857,-0.1666666666666666,-0.0833333333333333,58,0.1460082227374004,14,4,V4
05_1d_long_clustered_blocks,cost_phase,linear_valid,M5 (hybrid),0.0654498469497873,0.0208333333333333,0.1308996938995747,0.0416666666666666,21,0.9215975440186212,0.3793103448275862,-0.1458333333333333,-0.1041666666666666,18,0.1705466841621298,29,11,V4
06_2d_tiny_corner_block,cost_phase,linear_valid,M5 (hybrid),1.4398966328953218,0.4583333333333333,0.6708609312353203,0.2135416666666666,32,0.8982460470434237,0.25,-0.0833333333333333,-0.0364583333333333,12,0.0529686634093787,4,1,V4
07_2d_small_diagonal_block,cost_phase,linear_valid,M5 (hybrid),0.1308996938995747,0.0416666666666666,0.1799870791119152,0.0572916666666666,60,0.5797586246027685,0.1111111111111111,-0.125,-0.0677083333333333,36,0.1227680895222159,9,1,V4
08_2d_medium_clustered_obstacles,cost_phase,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.1145833333333333,45,0.966006387753554,0.5625,0.0520833333333333,0.0520833333333333,39,0.0795040935680069,16,9,V4
09_2d_rectangular_window,cost_phase,linear_valid,M5 (hybrid),1.5707963267948966,0.5,0.9817477042468102,0.3124999999999999,30,0.8297299113621024,0.4,0.2916666666666667,0.2083333333333333,28,0.186018852707416,20,8,V4
