transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases,version
delta_cost,local_geometric,M1 (sweep),0.7617177046497016,0.7791686985419182,0.1396134595009709,0.5241530570353398,0.9354756972232968,0,10,V5
delta_cost,local_geometric,M2 (eigen),0.3886330094706245,0.3968698690138735,0.1344044110968051,0.1285431908764636,0.5992031165910932,0,10,V5
delta_cost,local_geometric,M3 (theory),0.265606236930399,0.2768451124152486,0.1411763133514401,0.0568916494400134,0.5314236982724193,0,10,V5
delta_cost,local_geometric,M4 (grad),0.2729016181292075,0.2988323659440017,0.1666714993948591,0.0042616897931934,0.5096107322805293,0,10,V5
delta_cost,local_geometric,M5 (hybrid),0.8011220338512336,0.8332112069645197,0.133272974990253,0.5554487591431427,0.9354756972232968,0,10,V5
delta_cost,local_geometric,Experimental,0.6928073576294547,0.7205024994181067,0.1804029102668964,0.3266229012348251,0.8823710279805349,0,10,V5
delta_cost,linear_valid,M1 (sweep),0.8041375366251946,0.8386724385515079,0.1301804888298235,0.5031599993302057,0.9644297437765909,0,10,V5
delta_cost,linear_valid,M2 (eigen),0.3990954486911164,0.3869518912432864,0.1324149375762003,0.1446594412040307,0.6451981168883058,0,10,V5
delta_cost,linear_valid,M3 (theory),0.2968136838024603,0.3106410460595286,0.1693800578501594,0.0568916494400134,0.6732435306963857,0,10,V5
delta_cost,linear_valid,M4 (grad),0.2245183292188487,0.2481317986423687,0.1570860310921774,0.0018175100914294,0.5096107322805293,0,10,V5
delta_cost,linear_valid,M5 (hybrid),0.8445828440455776,0.8566185321814429,0.0980255704582516,0.6026615450250171,0.9644297437765909,0,10,V5
delta_cost,linear_valid,Experimental,0.7739538998337439,0.8023645424255423,0.0980085669465801,0.5331500613524067,0.8964826048960772,0,10,V5
delta_cost,rx_all,M1 (sweep),0.7116338296880762,0.7058602017349844,0.17236378459534,0.4133405596186143,0.9422071124535384,0,10,V5
delta_cost,rx_all,M2 (eigen),0.4190807053467858,0.4119524265064077,0.1700541849107344,0.1079563244946348,0.6992303528083723,0,10,V5
delta_cost,rx_all,M3 (theory),0.2716390729395032,0.2578163661349011,0.1832854228782014,0.01,0.6220485816205198,0,10,V5
delta_cost,rx_all,M4 (grad),0.2160366938322189,0.2327462174172775,0.1058327112474759,0.0271015015940506,0.4106724531950194,0,10,V5
delta_cost,rx_all,M5 (hybrid),0.739736126955824,0.7598506227518074,0.1744214552606948,0.4195676459829979,0.974334261114404,0,10,V5
delta_cost,rx_all,Experimental,0.6559342970674613,0.6476043488229986,0.1849612346708873,0.3656290129937933,0.9487756971785872,0,10,V5
descent,local_geometric,M1 (sweep),0.8625852101225618,0.914519582038314,0.1109481094661024,0.6439828734943303,0.9968134563396264,0,10,V5
descent,local_geometric,M2 (eigen),0.5450552794086461,0.5904422610532658,0.2124121739649496,0.1935541321592259,0.906502706504869,0,10,V5
descent,local_geometric,M3 (theory),0.4047325369701241,0.4588697386490092,0.1950401462738996,0.0568916494400134,0.7037287784239776,0,10,V5
descent,local_geometric,M4 (grad),0.3513531562640831,0.3254965003193107,0.2107948764430744,0.1075648877674695,0.8368358368777385,0,10,V5
descent,local_geometric,M5 (hybrid),0.8876296937447934,0.9325202404801686,0.0943972035663693,0.7020923980847867,0.9992734376813616,2,10,V5
descent,local_geometric,Experimental,0.7658697368550986,0.832727902778753,0.1465525695557167,0.5100769655553824,0.9612145985032564,0,10,V5
descent,linear_valid,M1 (sweep),0.852373171913879,0.9159809385745163,0.121925580527432,0.5804449684613917,0.9740780956648378,0,10,V5
descent,linear_valid,M2 (eigen),0.5147723756516115,0.5368608723765327,0.1819149398358333,0.2250218731563856,0.8414659389549225,0,10,V5
descent,linear_valid,M3 (theory),0.3901603752676036,0.3699423058347179,0.2019155411900197,0.0568916494400134,0.746891778177505,0,10,V5
descent,linear_valid,M4 (grad),0.3750771926358535,0.3516681406697989,0.2164555768764716,0.1075648877674695,0.8887389086232876,0,10,V5
descent,linear_valid,M5 (hybrid),0.8793299359618549,0.9325202404801686,0.0951893966901327,0.6837105072767814,0.9817351760672968,0,10,V5
descent,linear_valid,Experimental,0.7626071245658063,0.7925910500620543,0.1380508199427859,0.5623355753292851,0.9452215175430948,0,10,V5
descent,rx_all,M1 (sweep),0.7153288235490628,0.703766051153081,0.1991418808307333,0.3997831873091815,1.0,1,10,V5
descent,rx_all,M2 (eigen),0.5696490445088596,0.5525228184832556,0.1894063838923686,0.2262936882808958,0.8372540144352861,0,10,V5
descent,rx_all,M3 (theory),0.246852713589085,0.2021438706567389,0.2244332837513628,0.0144,0.81,0,10,V5
descent,rx_all,M4 (grad),0.3029757976404569,0.2427429792223113,0.1523027918455013,0.0773371951253633,0.604887324503381,0,10,V5
descent,rx_all,M5 (hybrid),0.7426270958674276,0.7385774163888512,0.198866900691841,0.4070112281167709,1.0,0,10,V5
descent,rx_all,Experimental,0.6657336814877404,0.6146842336404084,0.2160928886517836,0.3011477527685099,0.9972158665801688,0,10,V5
valid_boundary,local_geometric,M1 (sweep),0.7274892964092976,0.7847234422499623,0.2028295313774011,0.3247730432189802,0.9333316055838788,0,10,V5
valid_boundary,local_geometric,M2 (eigen),0.4640496215391966,0.3850373676087187,0.2088366204953278,0.1641581229297805,0.8680974518212182,0,10,V5
valid_boundary,local_geometric,M3 (theory),0.3555485473192002,0.3812145223891094,0.1738937197791427,0.0628687824538303,0.637401594029457,0,10,V5
valid_boundary,local_geometric,M4 (grad),0.324568654200307,0.3084849047331568,0.2006099507100497,0.0172953645200505,0.674852915351345,0,10,V5
valid_boundary,local_geometric,M5 (hybrid),0.7724540031994783,0.8682413185036398,0.2138725253917928,0.3313807865153701,0.971530649047698,0,10,V5
valid_boundary,local_geometric,Experimental,0.6462294906468595,0.6916957786989096,0.2059670845373886,0.3111390859788946,0.923333777119036,0,10,V5
valid_boundary,linear_valid,M1 (sweep),0.750365128851987,0.7331394566800203,0.1351436259621913,0.4532431298432418,0.9499708561479092,0,10,V5
valid_boundary,linear_valid,M2 (eigen),0.448236046191529,0.4261335406193079,0.143931821688952,0.1945796360768975,0.7135207738695392,0,10,V5
valid_boundary,linear_valid,M3 (theory),0.3600042519811908,0.3812145223891094,0.1584123652498446,0.0791292172081497,0.6431907083886574,0,10,V5
valid_boundary,linear_valid,M4 (grad),0.3956352221232891,0.3622241968148902,0.2172430149571508,0.1048410732937622,0.822889508040563,0,10,V5
valid_boundary,linear_valid,M5 (hybrid),0.8269312220315385,0.8373653122309244,0.0996967970774076,0.643178502743698,0.9525922257125444,0,10,V5
valid_boundary,linear_valid,Experimental,0.6390760119060941,0.6344394334185732,0.1879551194565698,0.2785615410178534,0.905171238056386,0,10,V5
valid_boundary,rx_all,M1 (sweep),0.5673411241880781,0.5427920912037468,0.1950747424847825,0.2316685066835152,0.9766274094581602,0,10,V5
valid_boundary,rx_all,M2 (eigen),0.3760937420325379,0.3195371744587473,0.1876166522091183,0.0920594705763733,0.7239710091940273,0,10,V5
valid_boundary,rx_all,M3 (theory),0.2756710726192778,0.2567989709792479,0.1793041608202185,0.0202777777777777,0.5881653683279756,0,10,V5
valid_boundary,rx_all,M4 (grad),0.2682554504020262,0.2496373504698061,0.1626625046016869,0.0705264465253928,0.5513559052148899,0,10,V5
