case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
01_1d_tiny_single_gap,descent,local_geometric,M5 (hybrid),0.7853981633974483,0.25,0.9490227807719167,0.30208333333333337,30,0.928340999143334,0.2,0.08333333333333334,0.10208333333333335,26,0.3648079509796285,5,1
02_1d_main_reference,descent,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.11458333333333331,18,0.937034814857316,0.2857142857142857,-0.03125,-0.01041666666666669,3,0.09136373621326577,7,2
03_1d_two_free_regions,oriented_valid,local_geometric,M5 (hybrid),1.014472627721704,0.32291666666666663,0.8999353955595761,0.2864583333333333,60,0.9417326123433241,0.375,0.28125,0.20312500000000003,51,0.0577481284891781,8,3
04_1d_clustered_medium,oriented_valid,local_geometric,M5 (hybrid),0.7526732399225546,0.23958333333333334,0.6217735460229799,0.19791666666666666,59,0.8718763994263197,0.2857142857142857,0.039583333333333345,0.03125,55,0.2591040512740781,14,4
05_1d_long_clustered_blocks,oriented_valid,local_geometric,M5 (hybrid),0.06544984694978735,0.020833333333333332,0.09817477042468103,0.03125,54,0.8716017588507244,0.3793103448275862,-0.04583333333333333,-0.035416666666666666,38,0.10114412886375279,29,11
06_2d_tiny_corner_block,descent,rx_all,M1 (sweep),1.5707963267948966,0.5,0.7853981633974483,0.25,1,1.0,0.25,0.4583333333333333,0.22916666666666666,-50,0.002784133419831303,4,1
07_2d_small_diagonal_block,oriented_valid,local_geometric,M5 (hybrid),0.9490227807719166,0.3020833333333333,1.3417218624706406,0.42708333333333326,58,0.7951317577199559,0.1111111111111111,0.03541666666666665,0.3104166666666666,50,0.12335002491107083,9,1
08_2d_medium_clustered_obstacles,oriented_valid,local_geometric,M5 (hybrid),0.4908738521234052,0.15625,0.3108867730114899,0.09895833333333333,28,0.9803508517698529,0.5625,0.05625,0.03229166666666666,25,0.19120116244827945,16,9
09_2d_rectangular_window,oriented_valid,local_geometric,M5 (hybrid),0.19634954084936207,0.0625,0.11453723216212787,0.03645833333333333,12,0.9195390706389442,0.4,0.029166666666666667,0.019791666666666666,-10,0.034013461376510734,20,8
10_3d_small_clustered_obstacles,oriented_valid,local_geometric,M5 (hybrid),0.22907446432425577,0.07291666666666667,0.13089969389957473,0.04166666666666667,58,0.9797174036655477,0.6666666666666666,-0.12708333333333333,-0.04166666666666666,31,0.025451751373525955,18,12
