transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases
delta_cost,local_geometric,M1 (sweep),0.7617177046497016,0.7791686985419182,0.1396134595009709,0.5241530570353398,0.9354756972232967,0,10
delta_cost,local_geometric,M2 (eigen),0.3886330094706245,0.39686986901387356,0.13440441109680512,0.12854319087646363,0.5992031165910932,0,10
delta_cost,local_geometric,M3 (theory),0.26560623693039903,0.2768451124152486,0.14117631335144015,0.05689164944001349,0.5314236982724193,0,10
delta_cost,local_geometric,M4 (grad),0.2729016181292075,0.29883236594400175,0.16667149939485917,0.004261689793193423,0.5096107322805293,0,10
delta_cost,local_geometric,M5 (hybrid),0.8011220338512336,0.8332112069645197,0.13327297499025306,0.5554487591431427,0.9354756972232967,0,10
delta_cost,local_geometric,Experimental,0.6928073576294547,0.7205024994181067,0.18040291026689648,0.3266229012348251,0.8823710279805349,0,10
delta_cost,linear_valid,M1 (sweep),0.8041375366251946,0.8386724385515079,0.13018048882982355,0.5031599993302057,0.9644297437765907,0,10
delta_cost,linear_valid,M2 (eigen),0.3990954486911164,0.38695189124328644,0.13241493757620035,0.1446594412040307,0.6451981168883058,0,10
delta_cost,linear_valid,M3 (theory),0.29681368380246037,0.3106410460595286,0.16938005785015947,0.05689164944001349,0.6732435306963857,0,10
delta_cost,linear_valid,M4 (grad),0.22451832921884876,0.24813179864236876,0.15708603109217742,0.0018175100914294274,0.5096107322805293,0,10
delta_cost,linear_valid,M5 (hybrid),0.8445828440455776,0.8566185321814429,0.09802557045825169,0.6026615450250171,0.9644297437765907,0,10
delta_cost,linear_valid,Experimental,0.7739538998337439,0.8023645424255423,0.09800856694658014,0.5331500613524067,0.8964826048960772,0,10
delta_cost,rx_all,M1 (sweep),0.7116338296880762,0.7058602017349844,0.17236378459534,0.4133405596186143,0.9422071124535385,0,10
delta_cost,rx_all,M2 (eigen),0.4190807053467858,0.41195242650640773,0.17005418491073446,0.10795632449463487,0.6992303528083723,0,10
