version,case,transition_mode,description,N,M,W,valid_windows,boundary_windows,near_valid_windows,P_uniform,theta_default,beta_default,r_star_default,P_star_default,theta_opt_heatmap,beta_opt_heatmap,P_opt_heatmap,P_boundary_at_optimum,P_near_valid_at_optimum,theta_opt_scan_default_beta,P_opt_scan_default_beta,mixer_method
V5,01_1d_tiny_single_gap,delta_cost,Minimal 1D case with one valid window.,[6],[2],5,1,3,4,0.2,1.5707963267948966,0.3,48,0.2852966005970003,2.617993877991494,1.2566370614359172,0.8082612773922113,0.8434176539077702,0.9948166149816051,5.969026041820607,0.6875461350960306,local_geometric
V5,01_1d_tiny_single_gap,descent,Minimal 1D case with one valid window.,[6],[2],5,1,3,4,0.2,1.5707963267948966,0.3,4,0.25571142907375183,0.5235987755982988,0.6283185307179586,0.5635330481637055,0.6658864876525392,0.7598953501611736,3.2463124087094526,0.43412986588823016,local_geometric
V5,01_1d_tiny_single_gap,valid_boundary,Minimal 1D case with one valid window.,[6],[2],5,1,3,4,0.2,1.5707963267948966,0.3,56,0.3675757948554519,1.6755160819145563,1.5184364492350666,0.7681159918010596,0.9533223166733317,0.9617897810059618,5.707226654021457,0.764640778650197,local_geometric
V5,01_1d_tiny_single_gap,oriented_valid,Minimal 1D case with one valid window.,[6],[2],5,1,3,4,0.2,1.5707963267948966,0.3,57,0.30915967384251214,0.5235987755982988,0.6806784082777885,0.8637905464958623,0.9816048749032719,0.9949270857386695,0.36651914291880916,0.6199505816101869,local_geometric
V5,02_1d_main_reference,delta_cost,Reference 1D instance used in the manual main experiment.,[8],[2],7,2,4,4,0.2857142857142857,1.0471975511965976,0.6,59,0.4450088346854098,0.7330382858376183,1.361356816555577,0.788246249127772,0.9779626206618393,0.9779626206618393,5.759586531581287,0.8355549421399739,linear_valid
V5,02_1d_main_reference,descent,Reference 1D instance used in the manual main experiment.,[8],[2],7,2,4,4,0.2857142857142857,1.0471975511965976,0.6,15,0.6674530079858076,0.3141592653589793,0.47123889803846897,0.8528658290618853,0.9624762099380015,0.9624762099380015,3.665191429188092,0.7521693426038125,linear_valid
V5,02_1d_main_reference,valid_boundary,Reference 1D instance used in the manual main experiment.,[8],[2],7,2,4,4,0.2857142857142857,1.0471975511965976,0.6,55,0.3863443860599287,0.0,0.2617993877991494,0.656484985895079,0.8989576603549281,0.8989576603549281,5.602506898901797,0.8166380925046335,linear_valid
V5,02_1d_main_reference,oriented_valid,Reference 1D instance used in the manual main experiment.,[8],[2],7,2,4,4,0.2857142857142857,1.0471975511965976,0.6,37,0.8108673026807649,0.20943951023931953,0.15707963267948966,0.8788441726027141,0.9684475312959654,0.9684475312959654,0.9948376736367678,0.8553234502523441,linear_valid
V5,03_1d_two_free_regions,delta_cost,1D grid with two occupied blocks and a central valid plateau.,[10],[3],8,3,4,5,0.375,1.0471975511965976,0.3,39,0.40361436164476605,1.8849555921538759,1.4660765716752366,0.8169230286572688,0.6831142689359685,0.848695901897167,6.126105674500097,0.6480872240292503,linear_valid
V5,03_1d_two_free_regions,descent,1D grid with two occupied blocks and a central valid plateau.,[10],[3],8,3,4,5,0.375,1.0471975511965976,0.3,54,0.5790700099861821,2.3038346126325147,1.361356816555577,0.8407330975269106,0.5331265116788695,0.8790343829720662,0.05235987755982988,0.8062310904729115,linear_valid
